"rules","support","confidence","coverage","lift","count"
"{Sexo=Mujer,Edad=[26,34),Sector=Público} => {Pueblo_Pertenencia=Ladino}",0.051843290230923,0.75332400279916,0.0688193792289725,1.68080333703575,2153
"{Nivel_Educativo=Maestría,Sexo=Mujer} => {Departamento=Guatemala}",0.0558886561198199,0.722153080273802,0.077391702184016,1.67151350299246,2321
"{Grupos_Quinquenales=25 a 29,Sector=Público} => {Pueblo_Pertenencia=Ladino}",0.0604878518625539,0.748064324002382,0.0808591586602134,1.66906803371272,2512
"{Nivel_Educativo=Licenciatura,Edad=[26,34),Sector=Público} => {Pueblo_Pertenencia=Ladino}",0.0506874714055238,0.745660644704215,0.0679765946687857,1.66370498651058,2105
"{Edad=[26,34),Sector=Público} => {Pueblo_Pertenencia=Ladino}",0.0827855233692119,0.740948275862069,0.111729153121915,1.65319083158415,3438
"{Nivel_Educativo=Maestría,Sector=Privado} => {Departamento=Guatemala}",0.0874810373473958,0.70488940628638,0.12410604637723,1.63155457327316,3633
"{Nivel_Educativo=Maestría} => {Departamento=Guatemala}",0.104457126345445,0.703421436679098,0.148498639504924,1.62815677426409,4338
"{Nivel_Educativo=Licenciatura,Edad=[-7.97e+03,26),Pueblo_Pertenencia=Ladino} => {Departamento=Guatemala}",0.0570685545040815,0.702430349733254,0.0812444316020131,1.62586277973873,2370
"{Departamento=Guatemala,Nivel_Educativo=Licenciatura,Edad=[-7.97e+03,26)} => {Pueblo_Pertenencia=Ladino}",0.0570685545040815,0.723443223443223,0.0788846348334899,1.61413386484573,2370
"{Nivel_Educativo=Maestría,Edad=[34,124]} => {Departamento=Guatemala}",0.0505911531700739,0.690210249671485,0.0732981771773941,1.59757783182516,2101
"{Edad=[34,124],Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.160755134965927,0.688318383338488,0.233547641407209,1.57268783789965,6676
"{Departamento=Guatemala,Edad=[-7.97e+03,26)} => {Pueblo_Pertenencia=Ladino}",0.0686508223169352,0.702389751170239,0.097738929422813,1.5671597258018,2851
"{Departamento=Guatemala,Edad=[-7.97e+03,26),Sector=Privado} => {Pueblo_Pertenencia=Ladino}",0.0555756218546076,0.684460260972717,0.0811962724842881,1.52715576091635,2308
"{Departamento=Guatemala,Grupos_Quinquenales=20 a 24,Sector=Privado} => {Nivel_Educativo=Licenciatura}",0.0509282669941487,0.876502279320348,0.0581039755351682,1.52602453183645,2115
"{Departamento=Guatemala,Edad=[-7.97e+03,26),Grupos_Quinquenales=20 a 24,Sector=Privado} => {Nivel_Educativo=Licenciatura}",0.0509282669941487,0.876502279320348,0.0581039755351682,1.52602453183645,2115
"{Sexo=Hombre,Edad=[34,124],Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.0584892484769679,0.658444022770398,0.0888294926436948,1.50443011782746,2429
"{Departamento=Guatemala,Edad=[-7.97e+03,26),Sector=Privado} => {Nivel_Educativo=Licenciatura}",0.0700474367309591,0.862692763938316,0.0811962724842881,1.50198162887663,2909
"{Nivel_Educativo=Licenciatura,Edad=[26,34),Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.115702280334224,0.656151850334562,0.176334609549953,1.49919290231866,4805
"{Nivel_Educativo=Licenciatura,Sector=Público,Pueblo_Pertenencia=Ladino} => {Departamento=Guatemala}",0.0612824773050158,0.647582697201018,0.0946326663295528,1.49891103734595,2545
"{Departamento=Guatemala,Edad=[34,124],Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.0689156974644225,0.65238203783907,0.105637024729707,1.4905795361696,2862
"{Nivel_Educativo=Licenciatura,Sexo=Mujer,Edad=[26,34),Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.0677598786390233,0.651690597498842,0.103975535168196,1.48899971520298,2814
"{Nivel_Educativo=Licenciatura,Edad=[34,124]} => {Pueblo_Pertenencia=Ignorado}",0.119362373281321,0.642597873995333,0.185749717065183,1.46822442281867,4957
"{Nivel_Educativo=Técnico,Sexo=Mujer,Sector=Público} => {Pueblo_Pertenencia=Ladino}",0.0516988128777481,0.657983450812136,0.0785716005682776,1.46808116524887,2147
"{Nivel_Educativo=Licenciatura,Edad=[26,34),Grupos_Quinquenales=25 a 29,Sector=Privado} => {Pueblo_Pertenencia=Ignorado}",0.0745984733559681,0.637842289479102,0.116954417395073,1.45735873898425,3098
